"","X","CustomerID","TransactionDate","Amount","ProductCategory","Month_Yr","Yr","Month","Day"
"2753",2780,1323,2023-09-11,385.35,"Specialty Suite","2023-09","2023","09","11"
"2754",2781,6695,2024-04-26,452.43,"Suite","2024-04","2024","04","26"
"2755",2782,6303,2020-01-30,294.75,"Premier","2020-01","0030","01","20"
"2756",2783,5981,2023-08-16,299.7,"Standard","2023-08","2023","08","16"
"2757",2784,5444,2023-07-13,317.59,"Specialty Suite","2023-07","2023","07","13"
"2758",2785,5116,2022-08-04,480.28,"Specialty Suite","2022-08","2022","08","04"
"2759",2786,5386,2022-06-25,295.6,"Standard","2022-06","2022","06","25"
"2760",2787,2431,2023-07-04,310.11,"Specialty Suite","2023-07","2023","07","04"
"2761",2788,2384,2022-05-13,334.13,"Specialty Suite","2022-05","2022","05","13"
"2762",2789,6688,2023-08-21,343.9,"Specialty Suite","2023-08","2023","08","21"
"2763",2790,4848,2022-06-18,351.34,"Premier","2022-06","2022","06","18"
"2764",2791,4509,2023-04-10,425.47,"Suite","2023-04","2023","04","10"
"2765",2792,7129,2023-12-24,338.48,"Standard","2023-12","2023","12","24"
"2766",2793,1503,2024-01-17,394.01,"Specialty Suite","2024-01","2024","01","17"
"2767",2794,2712,2023-09-27,392.57,"Specialty Suite","2023-09","2023","09","27"
"2768",2795,2686,2023-11-25,522.02,"Suite","2023-11","2023","11","25"
"2769",2796,6020,2024-04-27,391.48,"Specialty Suite","2024-04","2024","04","27"
"2770",2797,2897,2023-07-21,433.94,"Specialty Suite","2023-07","2023","07","21"
"2771",2798,6591,2023-05-27,360.67,"Specialty Suite","2023-05","2023","05","27"
"2772",2799,4899,2023-03-02,221.39,"Specialty Suite","2023-03","2023","03","02"
"2773",2800,5203,2023-06-30,453.34,"Specialty Suite","2023-06","2023","06","30"
"2774",2801,6221,2022-03-21,358.18,"Specialty Suite","2022-03","2022","03","21"
"2775",2802,1345,2024-05-01,307.37,"Premier","2024-05","2024","05","01"
"2776",2803,6979,2022-02-18,259.57,"Premier","2022-02","2022","02","18"
"2777",2804,2862,2022-05-23,284.7,"Premier","2022-05","2022","05","23"
"2778",2805,7300,2023-02-19,347.3,"Standard","2023-02","2023","02","19"
"2779",2806,3295,2023-11-18,386.77,"Specialty Suite","2023-11","2023","11","18"
"2780",2807,6803,2022-11-12,417.73,"Presidential","2022-11","2022","11","12"
"2781",2808,1992,2023-10-31,399.34,"Specialty Suite","2023-10","2023","10","31"
"2782",2809,1416,2022-10-20,215.56,"Standard","2022-10","2022","10","20"
"2783",2810,1389,2023-11-02,358.12,"Specialty Suite","2023-11","2023","11","02"
"2784",2811,211,2022-12-26,243.58,"Specialty Suite","2022-12","2022","12","26"
"2785",2812,7395,2023-11-23,394.49,"Standard","2023-11","2023","11","23"
"2786",2813,2601,2022-11-26,500.89,"Suite","2022-11","2022","11","26"
"2787",2814,629,2023-10-23,292.9,"Premier","2023-10","2023","10","23"
"2788",2815,3128,2023-09-07,432.29,"Specialty Suite","2023-09","2023","09","07"
"2789",2816,113,2023-04-24,413.47,"Suite","2023-04","2023","04","24"
"2790",2817,4855,2023-10-06,498.22,"Specialty Suite","2023-10","2023","10","06"
"2791",2818,655,2023-03-11,349.94,"Premier","2023-03","2023","03","11"
"2792",2819,4907,2022-01-15,408.81,"Presidential","2022-01","2022","01","15"
"2793",2820,6951,2022-06-14,372.88,"Standard","2022-06","2022","06","14"
"2794",2821,7366,2024-07-22,256.44,"Specialty Suite","2024-07","2024","07","22"
"2795",2822,6689,2022-02-03,389.4,"Specialty Suite","2022-02","2022","02","03"
"2796",2823,7461,2022-03-02,272.81,"Specialty Suite","2022-03","2022","03","02"
"2797",2824,5955,2022-11-27,332.1,"Standard","2022-11","2022","11","27"
"2798",2825,5060,2023-02-14,283.23,"Premier","2023-02","2023","02","14"
"2799",2826,226,2022-08-04,354.09,"Specialty Suite","2022-08","2022","08","04"
"2800",2827,878,2023-11-14,319.7,"Premier","2023-11","2023","11","14"
"2801",2828,1696,2023-11-02,527.24,"Suite","2023-11","2023","11","02"
"2802",2829,5955,2023-05-09,351.18,"Specialty Suite","2023-05","2023","05","09"
"2803",2830,719,2024-04-28,302.33,"Specialty Suite","2024-04","2024","04","28"
"2804",2831,3266,2023-09-12,275.51,"Specialty Suite","2023-09","2023","09","12"
"2805",2832,1850,2022-07-03,363.85,"Premier","2022-07","2022","07","03"
"2806",2833,492,2023-06-09,478.71,"Premier","2023-06","2023","06","09"
"2807",2834,2279,2022-10-14,395.77,"Specialty Suite","2022-10","2022","10","14"
"2808",2835,1698,2022-01-26,313.04,"Premier","2022-01","2022","01","26"
"2809",2836,177,2024-06-23,264.19,"Specialty Suite","2024-06","2024","06","23"
"2810",2837,5035,2023-04-28,407.63,"Specialty Suite","2023-04","2023","04","28"
"2811",2838,1699,2024-07-08,375,"Premier","2024-07","2024","07","08"
"2812",2839,7035,2022-04-04,470.38,"Premier","2022-04","2022","04","04"
"2813",2840,56,2024-06-15,327.28,"Suite","2024-06","2024","06","15"
"2814",2841,6559,2022-10-24,343.95,"Specialty Suite","2022-10","2022","10","24"
"2815",2842,3993,2022-05-02,390.96,"Suite","2022-05","2022","05","02"
"2816",2843,3686,2022-07-20,310.29,"Specialty Suite","2022-07","2022","07","20"
"2817",2844,7714,2022-06-13,297.45,"Suite","2022-06","2022","06","13"
"2818",2845,6154,2023-07-19,313.81,"Specialty Suite","2023-07","2023","07","19"
"2819",2846,2071,2023-10-12,401.94,"Suite","2023-10","2023","10","12"
"2820",2847,5819,2023-11-14,301.38,"Premier","2023-11","2023","11","14"
"2821",2848,2555,2022-08-19,374.95,"Premier","2022-08","2022","08","19"
"2822",2849,5444,2024-04-23,235.48,"Specialty Suite","2024-04","2024","04","23"
"2823",2850,4204,2024-05-12,414.13,"Presidential","2024-05","2024","05","12"
"2824",2851,7349,2023-01-16,295.79,"Premier","2023-01","2023","01","16"
"2825",2852,2524,2022-03-02,343.41,"Standard","2022-03","2022","03","02"
"2826",2853,7028,2024-07-23,380.68,"Premier","2024-07","2024","07","23"
"2827",2854,5204,2022-06-22,376.68,"Premier","2022-06","2022","06","22"
"2828",2855,2865,2022-05-24,394.8,"Specialty Suite","2022-05","2022","05","24"
"2829",2856,6023,2022-09-19,363.32,"Premier","2022-09","2022","09","19"
"2830",2857,3075,2020-09-09,492.82,"Suite","2020-09","0009","09","20"
"2831",2858,45,2024-02-01,459.1,"Suite","2024-02","2024","02","01"
"2832",2859,3598,2024-05-23,455.27,"Premier","2024-05","2024","05","23"
"2833",2860,848,2023-09-15,371.73,"Premier","2023-09","2023","09","15"
"2834",2861,4663,2022-12-20,304.34,"Standard","2022-12","2022","12","20"
"2835",2862,3808,2022-12-09,348.28,"Suite","2022-12","2022","12","09"
"2836",2863,1779,2023-12-26,420.02,"Suite","2023-12","2023","12","26"
"2837",2864,4035,2020-06-25,366.77,"Suite","2020-06","0025","06","20"
"2838",2865,1183,2023-08-20,307.08,"Specialty Suite","2023-08","2023","08","20"
"2839",2866,5846,2022-09-13,399.28,"Specialty Suite","2022-09","2022","09","13"
"2840",2867,64,2023-07-20,345.07,"Premier","2023-07","2023","07","20"
"2841",2868,2006,2023-09-02,354.14,"Suite","2023-09","2023","09","02"
"2842",2869,3038,2023-02-09,271.52,"Standard","2023-02","2023","02","09"
"2843",2870,6327,2022-06-05,388.08,"Specialty Suite","2022-06","2022","06","05"
"2844",2871,806,2022-10-14,278.37,"Standard","2022-10","2022","10","14"
"2845",2872,657,2022-09-02,401.58,"Specialty Suite","2022-09","2022","09","02"
"2846",2873,6492,2020-07-07,364.67,"Suite","2020-07","0007","07","20"
"2847",2874,7949,2023-11-14,255.12,"Specialty Suite","2023-11","2023","11","14"
"2848",2875,3143,2023-03-11,334.9,"Specialty Suite","2023-03","2023","03","11"
"2849",2876,517,2022-08-23,406.31,"Suite","2022-08","2022","08","23"
"2850",2877,1573,2022-02-12,403.38,"Specialty Suite","2022-02","2022","02","12"
"2851",2878,3473,2023-12-21,331.88,"Specialty Suite","2023-12","2023","12","21"
"2852",2879,5158,2023-07-01,233.03,"Specialty Suite","2023-07","2023","07","01"
"2853",2880,6462,2023-11-02,376.15,"Standard","2023-11","2023","11","02"
"2854",2881,582,2023-03-30,400.92,"Specialty Suite","2023-03","2023","03","30"
"2855",2882,751,2024-02-09,299.96,"Specialty Suite","2024-02","2024","02","09"
"2856",2883,374,2023-09-16,448.52,"Suite","2023-09","2023","09","16"
"2857",2884,2313,2020-07-10,465.46,"Suite","2020-07","0010","07","20"
"2858",2885,2495,2023-10-29,424.97,"Suite","2023-10","2023","10","29"
"2859",2886,6408,2024-04-13,344.04,"Specialty Suite","2024-04","2024","04","13"
"2860",2887,1961,2023-04-29,355.3,"Standard","2023-04","2023","04","29"
"2861",2888,7899,2022-12-05,402.9,"Specialty Suite","2022-12","2022","12","05"
"2862",2889,1556,2022-08-06,337.8,"Specialty Suite","2022-08","2022","08","06"
"2863",2890,959,2023-02-19,453.79,"Suite","2023-02","2023","02","19"
"2864",2891,4641,2023-06-16,496.81,"Suite","2023-06","2023","06","16"
"2865",2892,5771,2024-04-10,365.62,"Premier","2024-04","2024","04","10"
"2866",2893,3683,2022-05-22,362.05,"Specialty Suite","2022-05","2022","05","22"
"2867",2894,2007,2022-10-04,426.47,"Specialty Suite","2022-10","2022","10","04"
"2868",2895,5364,2022-01-02,415.24,"Specialty Suite","2022-01","2022","01","02"
"2869",2896,3643,2024-01-18,328.21,"Suite","2024-01","2024","01","18"
"2870",2897,5030,2022-06-10,404.29,"Suite","2022-06","2022","06","10"
"2871",2898,1776,2023-02-06,315.7,"Premier","2023-02","2023","02","06"
"2872",2899,5711,2023-03-12,283.61,"Standard","2023-03","2023","03","12"
"2873",2900,4280,2022-01-05,435.87,"Specialty Suite","2022-01","2022","01","05"
"2874",2901,2482,2023-08-05,374.8,"Standard","2023-08","2023","08","05"
"2875",2902,630,2024-02-01,496.8,"Specialty Suite","2024-02","2024","02","01"
"2876",2903,2887,2023-11-06,322.62,"Premier","2023-11","2023","11","06"
"2877",2904,3994,2024-06-25,430.07,"Suite","2024-06","2024","06","25"
"2878",2905,4700,2022-11-29,373.47,"Standard","2022-11","2022","11","29"
"2879",2906,1307,2022-10-30,323.1,"Specialty Suite","2022-10","2022","10","30"
"2880",2907,7746,2022-04-29,163.22,"Premier","2022-04","2022","04","29"
"2881",2908,5250,2022-10-23,368.83,"Specialty Suite","2022-10","2022","10","23"
"2882",2909,277,2024-03-12,419.04,"Specialty Suite","2024-03","2024","03","12"
"2883",2910,4592,2022-03-21,404.08,"Specialty Suite","2022-03","2022","03","21"
"2884",2911,7936,2024-07-20,238.25,"Suite","2024-07","2024","07","20"
"2885",2912,533,2020-11-06,451.1,"Suite","2020-11","0006","11","20"
"2886",2913,7634,2023-06-18,367.7,"Specialty Suite","2023-06","2023","06","18"
"2887",2914,3313,2023-06-30,383.64,"Suite","2023-06","2023","06","30"
"2888",2915,5083,2023-01-14,356.98,"Specialty Suite","2023-01","2023","01","14"
"2889",2916,7560,2022-01-28,287.37,"Standard","2022-01","2022","01","28"
"2890",2917,2604,2023-12-19,456.51,"Suite","2023-12","2023","12","19"
"2891",2918,7365,2024-03-03,405.2,"Suite","2024-03","2024","03","03"
"2892",2919,5225,2023-08-25,288.26,"Specialty Suite","2023-08","2023","08","25"
"2893",2920,3062,2024-02-07,307.56,"Standard","2024-02","2024","02","07"
"2894",2921,7875,2023-08-26,361.83,"Standard","2023-08","2023","08","26"
"2895",2922,6375,2022-02-10,397.11,"Premier","2022-02","2022","02","10"
"2896",2923,4870,2023-08-14,345.6,"Premier","2023-08","2023","08","14"
"2897",2924,2518,2022-12-22,349.16,"Suite","2022-12","2022","12","22"
"2898",2925,3981,2023-08-28,249.98,"Premier","2023-08","2023","08","28"
"2899",2926,7868,2024-01-07,367.7,"Standard","2024-01","2024","01","07"
"2900",2927,4373,2024-05-27,224.54,"Premier","2024-05","2024","05","27"
"2901",2928,256,2024-07-03,358.74,"Specialty Suite","2024-07","2024","07","03"
"2902",2929,5350,2022-09-13,400.5,"Suite","2022-09","2022","09","13"
"2903",2930,861,2022-07-28,407.5,"Specialty Suite","2022-07","2022","07","28"
"2904",2931,2914,2022-08-28,370.26,"Specialty Suite","2022-08","2022","08","28"
"2905",2932,2450,2022-11-27,356.77,"Specialty Suite","2022-11","2022","11","27"
"2906",2933,2037,2022-05-08,325.5,"Specialty Suite","2022-05","2022","05","08"
"2907",2934,4601,2022-05-26,405.37,"Specialty Suite","2022-05","2022","05","26"
"2908",2935,2263,2024-07-27,372.93,"Standard","2024-07","2024","07","27"
"2909",2936,4292,2023-07-06,336.13,"Premier","2023-07","2023","07","06"
"2910",2937,5869,2024-03-31,418.4,"Specialty Suite","2024-03","2024","03","31"
"2911",2938,676,2022-11-19,274.82,"Specialty Suite","2022-11","2022","11","19"
"2912",2939,2028,2020-08-06,303.78,"Standard","2020-08","0006","08","20"
"2913",2940,1110,2023-07-24,506.33,"Suite","2023-07","2023","07","24"
"2914",2941,4691,2022-02-14,263.97,"Specialty Suite","2022-02","2022","02","14"
"2915",2942,2920,2022-07-13,275.15,"Premier","2022-07","2022","07","13"
"2916",2943,4453,2022-11-27,306.18,"Premier","2022-11","2022","11","27"
"2917",2944,2144,2023-06-11,376.31,"Premier","2023-06","2023","06","11"
"2918",2945,609,2022-07-14,489.79,"Specialty Suite","2022-07","2022","07","14"
"2919",2946,1783,2024-03-19,343.72,"Standard","2024-03","2024","03","19"
"2920",2947,1536,2023-05-15,468.67,"Suite","2023-05","2023","05","15"
"2921",2948,7528,2022-10-23,484.98,"Suite","2022-10","2022","10","23"
"2922",2949,4055,2023-05-31,487.22,"Specialty Suite","2023-05","2023","05","31"
"2923",2950,4901,2024-02-22,333.21,"Specialty Suite","2024-02","2024","02","22"
"2924",2951,1603,2022-10-30,425.11,"Suite","2022-10","2022","10","30"
"2925",2952,3018,2024-01-09,322.24,"Premier","2024-01","2024","01","09"
"2926",2953,5418,2023-01-28,332.71,"Specialty Suite","2023-01","2023","01","28"
"2927",2954,1479,2023-05-16,286.7,"Specialty Suite","2023-05","2023","05","16"
"2928",2956,3070,2024-05-03,389.8,"Standard","2024-05","2024","05","03"
"2929",2957,1956,2023-09-01,363.3,"Premier","2023-09","2023","09","01"
"2930",2958,5745,2022-08-25,484.68,"Specialty Suite","2022-08","2022","08","25"
"2931",2959,85,2023-07-29,320.33,"Premier","2023-07","2023","07","29"
"2932",2960,3877,2023-07-24,364.6,"Standard","2023-07","2023","07","24"
"2933",2961,7322,2022-01-10,409.64,"Specialty Suite","2022-01","2022","01","10"
"2934",2962,5357,2023-02-18,290.73,"Premier","2023-02","2023","02","18"
"2935",2963,2414,2022-08-16,424.61,"Suite","2022-08","2022","08","16"
"2936",2964,1009,2024-05-12,377.23,"Specialty Suite","2024-05","2024","05","12"
"2937",2965,3349,2023-08-16,361.8,"Specialty Suite","2023-08","2023","08","16"
"2938",2966,3691,2020-11-10,351.48,"Suite","2020-11","0010","11","20"
"2939",2967,6478,2022-09-07,207.94,"Specialty Suite","2022-09","2022","09","07"
"2940",2968,4518,2023-03-01,288.75,"Premier","2023-03","2023","03","01"
"2941",2969,758,2024-07-18,237.8,"Suite","2024-07","2024","07","18"
"2942",2970,6363,2020-03-22,355.07,"Suite","2020-03","0022","03","20"
"2943",2971,7219,2022-05-17,334.94,"Premier","2022-05","2022","05","17"
"2944",2972,757,2022-09-16,359.82,"Specialty Suite","2022-09","2022","09","16"
"2945",2973,4690,2022-10-02,351.61,"Suite","2022-10","2022","10","02"
"2946",2974,4888,2024-04-15,291.59,"Specialty Suite","2024-04","2024","04","15"
"2947",2975,2562,2024-04-08,276.38,"Standard","2024-04","2024","04","08"
"2948",2976,5563,2020-11-02,258.05,"Premier","2020-11","0002","11","20"
"2949",2977,6359,2022-11-25,471.05,"Presidential","2022-11","2022","11","25"
"2950",2978,6924,2024-04-21,332.39,"Standard","2024-04","2024","04","21"
"2951",2979,7993,2024-04-01,311.68,"Standard","2024-04","2024","04","01"
"2952",2980,2539,2022-02-10,419.79,"Specialty Suite","2022-02","2022","02","10"
"2953",2981,6965,2022-03-24,470.37,"Suite","2022-03","2022","03","24"
"2954",2982,5011,2023-08-10,368.59,"Specialty Suite","2023-08","2023","08","10"
"2955",2983,982,2022-08-17,468.79,"Suite","2022-08","2022","08","17"
"2956",2984,7232,2023-07-05,248.5,"Standard","2023-07","2023","07","05"
"2957",2985,7075,2022-01-22,354.66,"Specialty Suite","2022-01","2022","01","22"
"2958",2986,2285,2023-01-07,365.88,"Standard","2023-01","2023","01","07"
"2959",2987,929,2022-01-13,309,"Specialty Suite","2022-01","2022","01","13"
"2960",2988,4879,2023-05-15,331.35,"Premier","2023-05","2023","05","15"
"2961",2989,3304,2022-12-16,305.03,"Specialty Suite","2022-12","2022","12","16"
"2962",2990,2212,2022-10-12,365.6,"Suite","2022-10","2022","10","12"
"2963",2991,5642,2022-11-10,457.43,"Premier","2022-11","2022","11","10"
"2964",2992,4931,2024-07-28,394.39,"Premier","2024-07","2024","07","28"
"2965",2993,1115,2023-02-12,379.74,"Premier","2023-02","2023","02","12"
"2966",2994,7044,2022-03-18,215.69,"Premier","2022-03","2022","03","18"
"2967",2995,2630,2023-09-13,219.26,"Standard","2023-09","2023","09","13"
"2968",2996,7002,2024-03-03,500.09,"Presidential","2024-03","2024","03","03"
"2969",2997,7046,2023-01-16,293.36,"Standard","2023-01","2023","01","16"
"2970",2998,6236,2022-06-05,276.94,"Specialty Suite","2022-06","2022","06","05"
"2971",2999,6354,2022-02-21,349.84,"Premier","2022-02","2022","02","21"
"2972",3000,1667,2022-10-11,438.37,"Standard","2022-10","2022","10","11"
"2973",3001,277,2022-12-10,393.31,"Specialty Suite","2022-12","2022","12","10"
"2974",3002,1034,2023-04-15,316.54,"Standard","2023-04","2023","04","15"
"2975",3003,4932,2023-07-20,299.21,"Specialty Suite","2023-07","2023","07","20"
"2976",3005,6292,2020-05-28,333.65,"Standard","2020-05","0028","05","20"
"2977",3006,4990,2024-01-31,342.11,"Suite","2024-01","2024","01","31"
"2978",3007,6804,2023-11-09,260.29,"Premier","2023-11","2023","11","09"
"2979",3008,6714,2022-07-03,349.25,"Standard","2022-07","2022","07","03"
"2980",3009,1961,2022-12-06,481.6,"Suite","2022-12","2022","12","06"
"2981",3010,2175,2022-05-22,414.28,"Standard","2022-05","2022","05","22"
"2982",3011,7430,2022-01-05,422.62,"Suite","2022-01","2022","01","05"
"2983",3012,7600,2023-04-07,318.14,"Premier","2023-04","2023","04","07"
"2984",3013,6066,2023-03-12,299.34,"Specialty Suite","2023-03","2023","03","12"
"2985",3014,3564,2022-09-27,217.05,"Suite","2022-09","2022","09","27"
"2986",3015,33,2024-01-07,480.31,"Suite","2024-01","2024","01","07"
"2987",3016,1747,2023-01-12,323.73,"Premier","2023-01","2023","01","12"
"2988",3017,584,2024-03-27,354.39,"Specialty Suite","2024-03","2024","03","27"
"2989",3018,3894,2023-05-22,381.62,"Suite","2023-05","2023","05","22"
"2990",3019,5923,2023-10-10,459.25,"Premier","2023-10","2023","10","10"
"2991",3020,4589,2023-04-10,335.79,"Standard","2023-04","2023","04","10"
"2992",3021,7120,2023-08-04,474.64,"Specialty Suite","2023-08","2023","08","04"
"2993",3022,2077,2023-11-29,342.17,"Specialty Suite","2023-11","2023","11","29"
"2994",3023,7747,2023-07-19,324.05,"Standard","2023-07","2023","07","19"
"2995",3024,7459,2023-11-15,356.04,"Standard","2023-11","2023","11","15"
"2996",3025,7765,2022-10-05,377.15,"Standard","2022-10","2022","10","05"
"2997",3026,3264,2024-06-14,316.41,"Standard","2024-06","2024","06","14"
"2998",3027,3786,2023-11-02,381.36,"Standard","2023-11","2023","11","02"
"2999",3028,6072,2022-01-08,443.27,"Suite","2022-01","2022","01","08"
"3000",3029,5203,2023-01-21,467.46,"Suite","2023-01","2023","01","21"
"3001",3030,3947,2022-12-17,379.39,"Suite","2022-12","2022","12","17"
"3002",3031,2480,2022-06-16,278.31,"Specialty Suite","2022-06","2022","06","16"
"3003",3032,1654,2022-11-08,487.3,"Suite","2022-11","2022","11","08"
"3004",3033,1399,2022-05-26,435.96,"Specialty Suite","2022-05","2022","05","26"
"3005",3034,1161,2024-03-21,267.2,"Specialty Suite","2024-03","2024","03","21"
"3006",3035,2852,2024-02-26,453.75,"Suite","2024-02","2024","02","26"
"3007",3036,4888,2022-10-31,402.41,"Specialty Suite","2022-10","2022","10","31"
"3008",3037,5212,2024-01-07,310.31,"Premier","2024-01","2024","01","07"
"3009",3038,5212,2023-06-16,388.59,"Specialty Suite","2023-06","2023","06","16"
"3010",3039,2932,2023-05-03,400.89,"Specialty Suite","2023-05","2023","05","03"
"3011",3040,6360,2024-04-09,393.33,"Specialty Suite","2024-04","2024","04","09"
"3012",3041,194,2024-06-10,385.69,"Standard","2024-06","2024","06","10"
"3013",3042,7038,2022-02-21,415.15,"Standard","2022-02","2022","02","21"
"3014",3043,4238,2022-05-11,346.04,"Specialty Suite","2022-05","2022","05","11"
"3015",3044,4803,2023-01-21,283.97,"Specialty Suite","2023-01","2023","01","21"
"3016",3045,4135,2024-03-14,392.82,"Specialty Suite","2024-03","2024","03","14"
"3017",3046,14,2023-06-13,377.4,"Premier","2023-06","2023","06","13"
"3018",3047,725,2024-04-17,313.18,"Premier","2024-04","2024","04","17"
"3019",3048,6680,2022-04-08,381.02,"Premier","2022-04","2022","04","08"
"3020",3049,623,2024-01-14,345.05,"Premier","2024-01","2024","01","14"
"3021",3050,4722,2023-08-10,372.41,"Premier","2023-08","2023","08","10"
"3022",3051,7343,2024-06-03,421.41,"Specialty Suite","2024-06","2024","06","03"
"3023",3052,3628,2023-04-07,158.84,"Suite","2023-04","2023","04","07"
"3024",3053,1829,2022-12-01,422,"Suite","2022-12","2022","12","01"
"3025",3054,6142,2024-04-07,305.3,"Suite","2024-04","2024","04","07"
"3026",3055,5212,2023-03-31,390.26,"Standard","2023-03","2023","03","31"
"3027",3056,1426,2022-07-13,479.81,"Suite","2022-07","2022","07","13"
"3028",3057,7370,2022-12-01,412.41,"Specialty Suite","2022-12","2022","12","01"
"3029",3058,4190,2024-05-01,319.18,"Suite","2024-05","2024","05","01"
"3030",3059,7208,2024-04-29,451.83,"Suite","2024-04","2024","04","29"
"3031",3060,7519,2024-01-19,269.6,"Standard","2024-01","2024","01","19"
"3032",3061,4777,2022-10-30,428.43,"Suite","2022-10","2022","10","30"
"3033",3062,560,2023-04-27,418.76,"Presidential","2023-04","2023","04","27"
"3034",3063,427,2023-06-18,464.59,"Suite","2023-06","2023","06","18"
"3035",3064,6306,2024-03-26,350.15,"Specialty Suite","2024-03","2024","03","26"
"3036",3065,4765,2023-08-31,263.22,"Specialty Suite","2023-08","2023","08","31"
"3037",3066,6657,2024-03-06,489.15,"Suite","2024-03","2024","03","06"
"3038",3067,6124,2020-03-04,389.62,"Premier","2020-03","0004","03","20"
"3039",3068,6607,2024-03-24,466.33,"Premier","2024-03","2024","03","24"
"3040",3069,7383,2023-12-10,340.14,"Premier","2023-12","2023","12","10"
"3041",3070,331,2022-11-01,339.34,"Premier","2022-11","2022","11","01"
"3042",3071,3082,2024-02-11,416.4,"Standard","2024-02","2024","02","11"
"3043",3072,3584,2022-02-04,344.56,"Standard","2022-02","2022","02","04"
"3044",3073,7083,2022-01-01,364.96,"Premier","2022-01","2022","01","01"
"3045",3074,5479,2023-02-24,379.22,"Standard","2023-02","2023","02","24"
"3046",3075,5033,2023-06-22,344.69,"Premier","2023-06","2023","06","22"
"3047",3076,4478,2023-12-14,425.59,"Suite","2023-12","2023","12","14"
"3048",3077,7456,2022-05-14,418.55,"Suite","2022-05","2022","05","14"
"3049",3078,3156,2022-02-23,403.19,"Suite","2022-02","2022","02","23"
"3050",3079,6512,2023-05-14,340.41,"Suite","2023-05","2023","05","14"
"3051",3080,3188,2023-12-14,341.83,"Specialty Suite","2023-12","2023","12","14"
"3052",3081,3072,2022-09-25,403.54,"Specialty Suite","2022-09","2022","09","25"
"3053",3082,931,2022-12-19,309.08,"Standard","2022-12","2022","12","19"
"3054",3083,5450,2023-07-13,401.36,"Suite","2023-07","2023","07","13"
"3055",3084,116,2023-03-12,427.29,"Specialty Suite","2023-03","2023","03","12"
"3056",3085,5754,2024-07-15,542.98,"Specialty Suite","2024-07","2024","07","15"
"3057",3086,309,2022-01-26,373.17,"Premier","2022-01","2022","01","26"
"3058",3087,7707,2022-04-03,168.69,"Specialty Suite","2022-04","2022","04","03"
"3059",3088,6593,2024-05-05,220.89,"Suite","2024-05","2024","05","05"
"3060",3089,6192,2022-02-02,255.74,"Specialty Suite","2022-02","2022","02","02"
"3061",3090,6850,2023-11-05,394.43,"Specialty Suite","2023-11","2023","11","05"
"3062",3091,3425,2022-03-18,402.29,"Specialty Suite","2022-03","2022","03","18"
"3063",3092,4428,2024-03-02,385.35,"Suite","2024-03","2024","03","02"
"3064",3093,2646,2023-05-04,441.99,"Suite","2023-05","2023","05","04"
"3065",3094,516,2023-04-27,314.26,"Suite","2023-04","2023","04","27"
"3066",3095,5874,2023-06-03,380.76,"Suite","2023-06","2023","06","03"
"3067",3096,975,2023-10-04,391.83,"Standard","2023-10","2023","10","04"
"3068",3097,5394,2023-05-05,547.86,"Specialty Suite","2023-05","2023","05","05"
"3069",3098,7821,2022-07-06,415.95,"Presidential","2022-07","2022","07","06"
"3070",3099,6685,2022-06-29,508.25,"Specialty Suite","2022-06","2022","06","29"
"3071",3100,6230,2022-12-11,389.62,"Standard","2022-12","2022","12","11"
"3072",3101,7076,2024-03-12,436.18,"Specialty Suite","2024-03","2024","03","12"
"3073",3102,5370,2023-05-14,220.83,"Premier","2023-05","2023","05","14"
"3074",3103,6722,2024-01-16,234.99,"Premier","2024-01","2024","01","16"
"3075",3104,5723,2022-11-24,389.81,"Specialty Suite","2022-11","2022","11","24"
"3076",3105,5841,2024-03-08,380.42,"Premier","2024-03","2024","03","08"
"3077",3106,6174,2024-04-11,310.42,"Specialty Suite","2024-04","2024","04","11"
"3078",3107,1076,2023-05-19,375.88,"Suite","2023-05","2023","05","19"
"3079",3108,2530,2023-11-13,397.47,"Suite","2023-11","2023","11","13"
"3080",3109,3650,2024-06-07,325,"Standard","2024-06","2024","06","07"
"3081",3110,2373,2023-04-14,363.65,"Premier","2023-04","2023","04","14"
"3082",3111,3225,2023-03-08,436.98,"Premier","2023-03","2023","03","08"
"3083",3112,5450,2023-05-19,290.88,"Specialty Suite","2023-05","2023","05","19"
"3084",3113,3898,2023-03-27,360.03,"Standard","2023-03","2023","03","27"
"3085",3114,7820,2022-09-21,397.82,"Standard","2022-09","2022","09","21"
"3086",3115,3438,2022-04-26,466.38,"Specialty Suite","2022-04","2022","04","26"
"3087",3116,6398,2022-06-09,367.57,"Suite","2022-06","2022","06","09"
"3088",3117,5649,2023-10-07,381.4,"Specialty Suite","2023-10","2023","10","07"
"3089",3118,3001,2022-02-04,424.61,"Premier","2022-02","2022","02","04"
"3090",3119,6802,2022-08-05,339.96,"Premier","2022-08","2022","08","05"
"3091",3120,6272,2022-02-16,252.96,"Specialty Suite","2022-02","2022","02","16"
"3092",3121,1481,2024-06-15,336.47,"Standard","2024-06","2024","06","15"
"3093",3122,752,2022-04-28,458.19,"Suite","2022-04","2022","04","28"
"3094",3123,7347,2024-02-21,382.43,"Premier","2024-02","2024","02","21"
"3095",3124,7230,2024-05-15,270.44,"Suite","2024-05","2024","05","15"
"3096",3125,2884,2023-12-30,375.31,"Premier","2023-12","2023","12","30"
"3097",3126,7366,2022-06-15,317.26,"Premier","2022-06","2022","06","15"
"3098",3127,105,2023-07-21,405.74,"Specialty Suite","2023-07","2023","07","21"
